Machine_ID,Machine_Type,Operating_Hours,Ambient_Temperature (°C),Vibration_Level (mm/s),Maintenance_Overdue (days),Tool_Wear (mm),Error_Code,Failure
M008,Router,1924,29,6.1,2,0.15,E404,False
M004,Grinder,2076,24,5.3,30,0.07,E501,False
M001,Router,2053,23,6.5,3,0.09,E501,False
M003,Milling,1739,26,6.2,49,0.2,E501,False
M003,Router,824,30,5.2,0,0.15,E305,True
M003,Lathe,811,24,5.1,3,0.12,E404,False
M003,Router,2547,23,6.9,44,0.05,E501,True
M002,Grinder,1728,30,7.8,48,0.22,E404,True
M002,Milling,900,29,5.1,49,0.18,E501,True
M003,Lathe,1217,27,5.2,39,0.14,E101,False
M006,Router,2542,26,9.0,47,0.2,E501,False
M008,Grinder,2890,30,7.3,55,0.16,E501,False
M002,Grinder,2896,30,5.4,19,0.2,E202,True
M001,Grinder,1277,29,6.6,2,0.17,E305,False
M002,Router,2971,26,6.5,24,0.07,E501,False
M003,Router,2526,31,7.6,24,0.14,E101,False
M001,Lathe,1500,27,5.9,46,0.05,E404,True
M007,Grinder,2120,29,3.8,30,0.05,E305,False
M003,Grinder,2410,31,7.4,58,0.1,E404,True
M002,Grinder,2759,27,5.0,56,0.18,E101,True
M010,Milling,3088,30,5.0,51,0.16,E404,False
M002,Milling,1851,23,5.6,13,0.16,E501,False
M004,Milling,2196,22,7.3,10,0.21,E305,False
M003,Milling,3100,23,4.0,14,0.18,E305,False
M008,Router,1662,22,9.1,52,0.16,E404,False
M007,Router,1103,27,3.6,27,0.2,E305,True
M003,Lathe,2538,30,7.6,35,0.1,E305,False
M003,Grinder,2629,23,5.4,35,0.1,E101,True
M001,Grinder,841,25,5.2,21,0.07,E305,True
M010,Grinder,2497,27,4.9,10,0.07,E202,True
M010,Lathe,2677,24,6.1,38,0.11,E404,False
M007,Router,2100,29,6.7,25,0.07,E305,True
M007,Milling,2456,28,7.6,51,0.21,E202,False
M009,Router,1095,31,8.2,26,0.1,E101,True
M003,Milling,2054,22,7.7,2,0.11,E101,True
M005,Lathe,1396,31,7.9,28,0.06,E202,False
M003,Lathe,892,31,5.7,45,0.13,E202,True
M005,Router,2252,29,3.9,10,0.2,E101,False
M010,Milling,2959,27,6.7,8,0.2,E101,False
M005,Grinder,1847,31,3.6,41,0.19,E202,False
M003,Milling,2164,28,6.3,48,0.14,E101,False
M003,Router,1899,26,5.0,4,0.11,E305,True
M005,Milling,2196,22,5.3,46,0.17,E404,True
M001,Router,2326,30,7.8,29,0.2,E101,False
M010,Grinder,1339,29,6.8,30,0.2,E404,True
M007,Grinder,2530,25,8.0,41,0.19,E202,False
M006,Milling,960,23,8.3,18,0.21,E404,True
M006,Router,1615,26,4.2,28,0.17,E305,False
M009,Grinder,2150,31,3.9,22,0.18,E202,True
M007,Router,842,31,6.7,31,0.11,E501,False
M001,Lathe,2189,23,4.0,42,0.14,E501,True
M003,Grinder,1931,25,5.6,41,0.16,E305,False
M010,Lathe,1877,26,8.2,57,0.21,E501,False
M008,Lathe,3096,24,5.6,55,0.06,E101,True
M007,Router,2174,31,4.7,10,0.15,E305,False
M007,Milling,2511,30,8.1,35,0.06,E202,True
M004,Grinder,1759,24,7.3,22,0.22,E305,False
M003,Lathe,1136,24,8.6,34,0.1,E501,True
M002,Router,1660,25,7.0,37,0.18,E404,False
M007,Lathe,3160,25,6.8,46,0.06,E404,False
M007,Lathe,1826,31,4.4,35,0.2,E305,True
M010,Grinder,815,28,6.6,0,0.22,E501,False
M008,Router,2218,30,7.9,25,0.21,E404,True
M004,Grinder,2284,25,4.4,54,0.2,E404,False
M005,Grinder,3108,30,3.7,2,0.2,E305,True
M002,Router,1300,30,6.7,6,0.07,E501,True
M010,Lathe,1137,25,7.5,48,0.09,E501,False
M001,Lathe,3148,30,3.9,18,0.19,E305,False
M007,Lathe,2212,28,4.0,31,0.22,E501,True
M002,Lathe,2131,27,3.8,49,0.12,E501,True
M010,Router,1186,22,5.1,59,0.16,E202,True
M002,Router,1910,28,5.2,44,0.14,E404,True
M007,Lathe,2172,27,5.0,45,0.09,E404,False
M008,Lathe,3070,25,7.1,54,0.1,E501,False
M007,Milling,904,28,7.6,45,0.06,E501,True
M005,Router,2802,29,6.9,48,0.06,E101,True
M007,Router,2817,28,8.3,12,0.06,E202,False
M002,Milling,1197,29,5.8,8,0.1,E404,True
M010,Grinder,858,27,8.8,25,0.14,E101,False
